OTU,shift,Day,Treatment
OTU.759,,1,13CXPS
OTU.758,0.01759763532053471,1,13CXPS
OTU.757,-0.005009262875951048,1,13CXPS
OTU.756,0.009056018684021838,1,13CXPS
OTU.5419,-0.0030757744498624007,1,13CXPS
OTU.839,0.002702782074062826,1,13CXPS
OTU.1968,-0.004716111440380422,1,13CXPS
OTU.1969,,1,13CXPS
OTU.1964,,1,13CXPS
OTU.1965,,1,13CXPS
OTU.1966,0.02296934865964695,1,13CXPS
OTU.1967,,1,13CXPS
OTU.1960,,1,13CXPS
OTU.1961,0.01596479232102932,1,13CXPS
OTU.1962,,1,13CXPS
OTU.1963,-0.007371972533013915,1,13CXPS
OTU.5069,,1,13CXPS
OTU.5068,,1,13CXPS
OTU.5065,-0.00493986558374182,1,13CXPS
OTU.5064,,1,13CXPS
OTU.5067,,1,13CXPS
OTU.5066,,1,13CXPS
OTU.5061,,1,13CXPS
OTU.5060,-0.017210995152997066,1,13CXPS
OTU.5063,,1,13CXPS
OTU.5062,,1,13CXPS
OTU.832,0.027001651877302413,1,13CXPS
OTU.833,0.013830410160757367,1,13CXPS
OTU.4338,,1,13CXPS
OTU.4339,,1,13CXPS
OTU.4336,,1,13CXPS
OTU.4337,,1,13CXPS
OTU.4334,,1,13CXPS
OTU.4335,,1,13CXPS
OTU.4332,,1,13CXPS
OTU.4333,,1,13CXPS
OTU.4330,,1,13CXPS
OTU.4331,,1,13CXPS
OTU.830,-0.0035701420200160427,1,13CXPS
OTU.1379,0.02564751495346429,1,13CXPS
OTU.1378,-0.05269543241821628,1,13CXPS
OTU.1371,-0.00021390260904285974,1,13CXPS
OTU.1370,0.015590504050761789,1,13CXPS
OTU.1373,0.016645231545233452,1,13CXPS
OTU.1372,,1,13CXPS
OTU.1375,-0.009157954043046646,1,13CXPS
OTU.1374,,1,13CXPS
OTU.1377,-0.007292583656025808,1,13CXPS
OTU.1376,,1,13CXPS
OTU.831,-0.009328942527065731,1,13CXPS
OTU.836,0.002433165809941462,1,13CXPS
OTU.837,0.008159268800595365,1,13CXPS
OTU.834,-0.0037706944132809284,1,13CXPS
OTU.4459,,1,13CXPS
OTU.1138,,1,13CXPS
OTU.835,0.013829020316012075,1,13CXPS
OTU.1133,0.003539444039070805,1,13CXPS
OTU.3209,,1,13CXPS
OTU.3208,0.015247687511076524,1,13CXPS
OTU.3207,,1,13CXPS
OTU.3206,,1,13CXPS
OTU.3205,,1,13CXPS
OTU.3204,,1,13CXPS
OTU.3203,,1,13CXPS
OTU.3202,,1,13CXPS
OTU.3201,,1,13CXPS
OTU.3200,,1,13CXPS
OTU.2002,,1,13CXPS
OTU.2003,,1,13CXPS
OTU.2000,-0.028589948619195837,1,13CXPS
OTU.2001,-0.010800434632535438,1,13CXPS
OTU.2006,,1,13CXPS
OTU.2007,-0.016193178103331096,1,13CXPS
OTU.2004,,1,13CXPS
OTU.2005,-0.03400111920772941,1,13CXPS
OTU.2558,,1,13CXPS
OTU.2559,,1,13CXPS
OTU.2008,,1,13CXPS
OTU.2009,0.009465188071681174,1,13CXPS
OTU.292,-0.00047041747006937307,1,13CXPS
OTU.293,0.009026224494709467,1,13CXPS
OTU.290,0.01005844077386997,1,13CXPS
OTU.291,-0.002312701924479077,1,13CXPS
OTU.4455,,1,13CXPS
OTU.1134,0.006536639313374781,1,13CXPS
OTU.748,0.01617899463260386,1,13CXPS
OTU.749,-0.004829064662398963,1,13CXPS
OTU.740,0.014113721108532706,1,13CXPS
OTU.741,,1,13CXPS
OTU.742,0.00926642926729837,1,13CXPS
OTU.743,-0.006911234852103876,1,13CXPS
OTU.744,-0.01689678509299286,1,13CXPS
OTU.745,0.013258024208395947,1,13CXPS
OTU.746,-0.020808391215798583,1,13CXPS
OTU.747,0.012211738789141835,1,13CXPS
OTU.1446,-0.04407040035827281,1,13CXPS
OTU.5517,,1,13CXPS
OTU.3838,,1,13CXPS
OTU.3839,,1,13CXPS
OTU.3834,,1,13CXPS
OTU.3835,,1,13CXPS
OTU.3836,,1,13CXPS
OTU.3837,,1,13CXPS
OTU.3830,,1,13CXPS
OTU.3831,,1,13CXPS
OTU.3832,,1,13CXPS
OTU.3833,,1,13CXPS
OTU.6027,,1,13CXPS
OTU.1253,,1,13CXPS
OTU.5432,,1,13CXPS
OTU.2353,,1,13CXPS
OTU.2350,,1,13CXPS
OTU.2351,,1,13CXPS
OTU.2424,,1,13CXPS
OTU.2425,,1,13CXPS
OTU.5313,,1,13CXPS
OTU.5312,,1,13CXPS
OTU.5311,,1,13CXPS
OTU.5866,0.007049517141998418,1,13CXPS
OTU.5317,,1,13CXPS
OTU.2426,,1,13CXPS
OTU.5315,,1,13CXPS
OTU.5314,,1,13CXPS
OTU.5319,,1,13CXPS
OTU.149,-0.00015824892320903672,1,13CXPS
OTU.5869,,1,13CXPS
OTU.5868,,1,13CXPS
OTU.3844,,1,13CXPS
OTU.146,-0.0027535356567169877,1,13CXPS
OTU.147,0.0035581669887037037,1,13CXPS
OTU.4811,,1,13CXPS
OTU.5439,,1,13CXPS
