"OTU","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8"
"OTU.1968",0.195219016871707,-0.482227622299288,0.851063861069393,-0.566617435374768,0.570974126643093,NA,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","uncultured_bacterium",NA
"OTU.1965",0.059103174511118,-0.182065142523598,0.805415076614252,-0.226051321622821,0.821161504337449,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces","uncultured_bacterium",NA
"OTU.1966",0.0912009375825274,-0.299538063590862,0.804337615356853,-0.372403401099137,0.709592522032293,NA,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured","uncultured_bacterium",NA,NA
"OTU.1961",0.1342113474502,-0.319013960935569,0.808068551662366,-0.394785764498928,0.693001001662983,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Family_Incertae_Sedis","Bauldia","uncultured_bacterium",NA
"OTU.1963",0.288185551430552,0.00607298899630715,0.952552678797969,0.00637548886427015,0.99491313032853,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia","uncultured_bacterium",NA
"OTU.5065",7.11436654577397,-1.53583741003357,0.655068017750241,-2.34454647214839,0.019050236309481,0.160639830501569,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter",NA,NA
"OTU.5060",0.767261817679292,1.16992876463179,0.972017805211535,1.20360836844669,0.228740983471186,NA,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","uncultured_bacterium",NA
"OTU.832",0.763016131305235,-0.384591127502355,0.999944966513351,-0.384612294057905,0.700524684205563,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","uncultured_bacterium",NA
"OTU.4337",0.0676479141219701,-0.203842411277988,0.80520226690917,-0.253156777688236,0.800147065175909,NA,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured","uncultured_bacterium",NA
"OTU.4332",0.0823336460329628,-0.210943756691133,0.806004033135888,-0.261715510120245,0.79354078187003,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12",NA,NA,NA
"OTU.4330",0.166673236229088,0.412585881328049,0.84394474483932,0.488877836909337,0.624928187388193,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured","uncultured_bacterium",NA
"OTU.1379",0.159495333174143,-0.340613180350441,0.809650188150875,-0.420691781877248,0.673980162951354,NA,"Bacteria","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured_bacterium",NA,NA
