"Day","Treatment","OTU","log2FoldChange","lfcSE","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","p","Experiment","sparsity","padj"
3,"13CCPS","OTU.79",1.04828817049365,0.459111792269299,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,0.412527400013723,"13CCPS",0.736842105263158,1
3,"13CCPS","OTU.50",1.24515489312187,0.499266186068032,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,0.275059350200944,"13CCPS",0.789473684210526,1
3,"13CCPS","OTU.162",-0.228420273574063,0.675863720092701,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,0.958969023373262,"13CCPS",0.526315789473684,1
3,"13CCPS","OTU.156",0.67260191057702,0.697947080334576,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter","uncultured_bacterium",NA,0.652791135797601,"13CCPS",0.578947368421053,1
3,"13CCPS","OTU.3267",2.04336859272034,0.768086025756951,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophaga",NA,NA,0.0766947556110758,"13CCPS",0.473684210526316,1
3,"13CCPS","OTU.12",1.34669191296547,0.452354030878511,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured","uncultured_Bacteroidetes_bacterium",NA,0.188342930194759,"13CCPS",0.789473684210526,1
3,"13CCPS","OTU.122",-0.0266807823757636,0.631660928724377,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter","uncultured_bacterium",NA,0.938359630458454,"13CCPS",0.631578947368421,1
3,"13CCPS","OTU.141",0.0111030431279297,0.696485548477253,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Lacibacter",NA,NA,0.910438176179547,"13CCPS",0.473684210526316,1
3,"13CCPS","OTU.121",0.998992694461359,0.558200802093288,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter",NA,NA,0.462754139084091,"13CCPS",0.631578947368421,1
3,"13CCPS","OTU.155",1.11678793747051,0.59028114983913,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas",NA,NA,0.386683295153802,"13CCPS",0.631578947368421,1
3,"13CCPS","OTU.113",-0.254998638525691,0.744310139713476,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured","uncultured_bacterium",NA,0.946806823936986,"13CCPS",0.473684210526316,1
3,"13CCPS","OTU.978",0.401717449778108,0.642617048218927,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured","uncultured_bacterium",NA,0.801844085701574,"13CCPS",0.578947368421053,1
3,"13CCPS","OTU.153",0.565866739608984,0.714922206916139,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured",NA,NA,0.702926079317606,"13CCPS",0.473684210526316,1
3,"13CCPS","OTU.80",1.53556841786601,0.56521069410653,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured","uncultured_bacterium",NA,0.14878107130219,"13CCPS",0.684210526315789,1
