"OTU","Day","Treatment","p.below","padj.below"
"OTU.79",3,"13CCPS",0.692356054568734,0.808085152125412
"OTU.50",3,"13CCPS",0.816164226931878,0.920891410514736
"OTU.162",3,"13CCPS",0.0486154657482666,0.102884888746552
"OTU.156",3,"13CCPS",0.403799618544459,0.519232700076976
"OTU.12",3,"13CCPS",0.898222735383869,0.991993530617261
"OTU.122",3,"13CCPS",0.0819979361475726,0.151857396011156
"OTU.121",3,"13CCPS",0.631450762574963,0.746429493949341
"OTU.155",3,"13CCPS",0.698059129614617,0.812373076227863
"OTU.978",3,"13CCPS",0.249815944723367,0.356540641251056
"OTU.80",3,"13CCPS",0.890093699333884,0.985710034946976
"OTU.69",3,"13CCPS",0.332755292048583,0.445280340668912
"OTU.99",3,"13CCPS",0.360057917000425,0.472084670652303
"OTU.147",3,"13CCPS",0.165124659903557,0.258134582502006
"OTU.60",3,"13CCPS",0.346651482885592,0.459523654465338
"OTU.159",3,"13CCPS",0.970169007120702,0.999999999992215
"OTU.131",3,"13CCPS",0.871941652918761,0.971881137035204
"OTU.3540",3,"13CCPS",0.678276727049235,0.792422518663552
"OTU.107",3,"13CCPS",0.785543722015468,0.892139962307875
"OTU.2379",3,"13CCPS",0.9423831284702,0.999999999992215
"OTU.14",3,"13CCPS",0.992910409360489,0.999999999992215
"OTU.6203",3,"13CCPS",0.971584139577253,0.999999999992215
"OTU.95",3,"13CCPS",0.523137497253186,0.643408227548465
"OTU.208",3,"13CCPS",0.29832631832243,0.410188283158203
"OTU.650",3,"13CCPS",0.174733935461126,0.269737090602587
"OTU.476",3,"13CCPS",0.0648536489561873,0.126855427355669
"OTU.351",3,"13CCPS",0.562612242118961,0.679775958536089
"OTU.217",3,"13CCPS",0.153111145722665,0.243641260342924
"OTU.256",3,"13CCPS",0.0576434940721042,0.117041143500587
"OTU.619",3,"13CCPS",0.488717569454697,0.607923149575443
"OTU.721",3,"13CCPS",0.326811296551686,0.43953008640378
"OTU.410",3,"13CCPS",0.135282226554548,0.220752655016321
"OTU.117",3,"13CCPS",0.0215966927178326,0.0571106515888505
"OTU.552",3,"13CCPS",0.0752264155727722,0.14149870807032
"OTU.364",3,"13CCPS",0.349594199869019,0.462149294488378
"OTU.414",3,"13CCPS",0.99326487455124,0.999999999992215
"OTU.354",3,"13CCPS",0.033327275736156,0.0781758948420378
"OTU.359",3,"13CCPS",0.106083297036241,0.181878714833013
"OTU.510",3,"13CCPS",0.0708354140117728,0.135359319376514
"OTU.466",3,"13CCPS",0.429687868222852,0.546090084376345
