copies_per_uL,dilution_factor,volume,Density,treatment,day
4044.3548662894,30,48,1.80835944,13CXPS,1
6167.0984893515,30,47,1.75262868,13CXPS,1
6874.9997179271,30,48,1.75153592,13CXPS,1
11323.4103832653,30,45,1.7493504,13CXPS,1
18851.4138921204,30,45,1.7493504,13CXPS,1
31177.849857496,30,50,1.74497936,13CXPS,1
19455.8388317022,30,41,1.74170108,13CXPS,1
16603.3424211327,30,39,1.7384228,13CXPS,1
23598.5045006784,30,48,1.73514452,13CXPS,1
18738.0239439169,30,44,1.73186624,13CXPS,1
27688.1522862606,30,46,1.72858796,13CXPS,1
64486.9651507178,30,49,1.72312416,13CXPS,1
72112.7751412417,30,58,1.71766036,13CXPS,1
101444.117082803,30,54,1.71438208,13CXPS,1
73179.0354604102,30,74,1.71001104,13CXPS,1
153912.168684147,30,60,1.70673276,13CXPS,1
170665.453271732,30,50,1.70236172,13CXPS,1
176067.169830872,30,59,1.69908344,13CXPS,1
133773.621364179,30,46,1.70126896,13CXPS,1
23780.0973212784,30,46,1.69034136,13CXPS,1
39660.3620216344,30,52,1.68487756,13CXPS,1
7453.7994095352,30,48,1.68159928,13CXPS,1
7464.4386965006,30,45,1.678321,13CXPS,1
6266.6032101495,30,55,1.67504272,13CXPS,1
4444.6126763516,30,50,1.66957892,13CXPS,1
3332.1396488292,30,79,1.66630064,13CXPS,1
4740.6977861639,30,38,1.6619296,13CXPS,1
5223.4291818144,30,48,1.65865132,13CXPS,1
2461.7163256537,30,71,1.65428028,13CXPS,1
5291.5466825248,30,57,1.651002,13CXPS,1
2874.321273964,30,50,1.64663096,13CXPS,1
1737.1646347109,30,72,1.64444544,13CXPS,1
2772.0769134491,30,48,1.64116716,13CXPS,1
2749.4116720231,30,45,1.6400744,13CXPS,1
1549.7294267032,30,38,1.63570336,13CXPS,1
4070.0379944771,30,44,1.63023956,13CXPS,1
1065.590667416,30,46.3,1.76902008,12CCPS,7
4036.9974006454,30,45.3,1.76683456,12CCPS,7
1511.9199230475,30,46,1.76464904,12CCPS,7
2884.4207413996,30,53.6,1.76137076,12CCPS,7
23748.9063673783,30,46.7,1.75699972,12CCPS,7
35117.7380711334,30,44.8,1.7548142,12CCPS,7
34633.3325751648,30,42.6,1.75044316,12CCPS,7
10761.6077903318,30,49.5,1.74716488,12CCPS,7
25044.3170194275,30,44.3,1.74279384,12CCPS,7
34147.6690379867,30,41.4,1.7384228,12CCPS,7
11689.5319959325,30,42.8,1.73623728,12CCPS,7
18470.8006929036,30,59.5,1.72858796,12CCPS,7
79080.0213489235,30,43.2,1.72530968,12CCPS,7
64147.0612661517,30,55.2,1.72312416,12CCPS,7
76521.9584350914,30,59.2,1.71875312,12CCPS,7
141289.516470882,30,57,1.71438208,12CCPS,7
612631.483533556,30,61.6,1.70891828,12CCPS,7
1213854.5444747,30,51.2,1.70891828,12CCPS,7
1993980.90807747,30,43.9,1.70126896,12CCPS,7
1175629.35792754,30,41.1,1.69799068,12CCPS,7
1154380.84219359,30,37.2,1.6947124,12CCPS,7
1059673.78281055,30,39.2,1.68815584,12CCPS,7
204613.798569491,30,39.3,1.6837848,12CCPS,7
174944.355423258,30,45,1.68050652,12CCPS,7
16791.6581213108,30,56.9,1.67722824,12CCPS,7
35406.904102908,30,41.8,1.6728572,12CCPS,7
9386.2150782511,30,43.6,1.6673934,12CCPS,7
17680.8366294949,30,46.9,1.66411512,12CCPS,7
9849.0785945138,30,51.7,1.65865132,12CCPS,7
8225.3241043813,30,84,1.6564658,12CCPS,7
15538.2987222118,30,47.6,1.65318752,12CCPS,7
20652.9060310381,30,43.8,1.64881648,12CCPS,7
12926.6569409106,30,46.6,1.64663096,12CCPS,7
10496.0871443812,30,54.3,1.64225992,12CCPS,7
6782.0096584281,30,43.1,1.63788888,12CCPS,7
7802.5841754798,30,48.1,1.6346106,12CCPS,7
3945.9791080083,30,50.5,1.78104044,13CCPS,7
1712.2823360501,30,37.7,1.77557664,13CCPS,7
3203.208922127,30,40.4,1.7712056,13CCPS,7
3689.2592340557,30,47,1.76683456,13CCPS,7
4587.9477702993,30,43.2,1.76355628,13CCPS,7
5905.8694823998,30,48.3,1.760278,13CCPS,7
11099.5460443459,30,45.8,1.75590696,13CCPS,7
26418.4535193071,30,42.2,1.75044316,13CCPS,7
605.4588498393,30,48,1.74607212,13CCPS,7
24858.2169833184,30,41.6,1.74170108,13CCPS,7
14631.7273239777,30,49.4,1.7384228,13CCPS,7
64153.2227646337,30,54,1.732959,13CCPS,7
41029.0101543662,30,55.6,1.72858796,13CCPS,7
75768.6474144124,30,45.7,1.72421692,13CCPS,7
59351.4627555801,30,47.7,1.72093864,13CCPS,7
329356.354225961,30,44.2,1.71438208,13CCPS,7
1706210.08053446,30,52.1,1.71328932,13CCPS,7
702864.587641155,30,54.6,1.71219656,13CCPS,7
1322339.40166654,30,45,1.70345448,13CCPS,7
663326.739921317,30,44,1.69689792,13CCPS,7
328996.903735744,30,54.1,1.69361964,13CCPS,7
141933.393868765,30,48.1,1.69034136,13CCPS,7
102122.193641884,30,48,1.68706308,13CCPS,7
81281.9146799812,30,46.3,1.68269204,13CCPS,7
62401.3147121326,30,43.9,1.67941376,13CCPS,7
16331.5078167605,30,45.6,1.67613548,13CCPS,7
21697.906903257,30,42.8,1.67067168,13CCPS,7
11689.4208351456,30,46.1,1.6673934,13CCPS,7
14992.9070324192,30,47.1,1.66302236,13CCPS,7
10042.4626527276,30,49.6,1.65755856,13CCPS,7
8527.4685499396,30,45.9,1.6564658,13CCPS,7
8619.5877766744,30,44.9,1.65209476,13CCPS,7
7294.4222536261,30,42.1,1.64772372,13CCPS,7
3680.8688570978,30,44.5,1.6455382,13CCPS,7
2670.8122756594,30,44.2,1.64335268,13CCPS,7
7140.8241228687,30,73.4,1.63679612,13CCPS,7
13.0196976937,30,42,1.78104044,13CCPS,14
38.0904048224,30,46,1.7766694,13CCPS,14
380.5312527796,30,50,1.77011284,13CCPS,14
84.2566826896,30,51,1.76355628,13CCPS,14
1449.6944052902,30,49,1.75699972,13CCPS,14
121.806790979,30,54,1.75153592,13CCPS,14
364.0207370034,30,46,1.74497936,13CCPS,14
684.9276477786,30,47,1.75153592,13CCPS,14
2416.7537226573,30,47,1.73514452,13CCPS,14
1300.9214605025,30,54,1.72968072,13CCPS,14
3980.2456059743,30,50,1.72530968,13CCPS,14
4276.3940620894,30,47,1.72093864,13CCPS,14
20646.1019100016,30,45,1.71766036,13CCPS,14
52481.5645512721,30,40,1.71438208,13CCPS,14
33435.1927348865,30,50,1.7111038,13CCPS,14
216692.336817189,30,51,1.70782552,13CCPS,14
133112.420478717,30,51,1.70236172,13CCPS,14
423016.695191363,30,48,1.69689792,13CCPS,14
177442.797273385,30,50,1.69361964,13CCPS,14
45658.0681994294,30,50,1.6892486,13CCPS,14
36515.8430821639,30,48,1.68597032,13CCPS,14
11319.7293175894,30,48,1.68159928,13CCPS,14
6462.0205945295,30,47,1.678321,13CCPS,14
1278.0815452485,30,47,1.67504272,13CCPS,14
1897.9341009725,30,48,1.67067168,13CCPS,14
535.0026756166,30,49,1.66520788,13CCPS,14
1186.6761394601,30,48,1.6619296,13CCPS,14
310.9591349376,30,47,1.65755856,13CCPS,14
